stimulus_id,stimulus,correct_response,block
2,bastırıyor,j,1
6,okunüyor,f,1
11,durulür,f,1
14,bakıştı,j,1
15,kovuluyor,j,1
18,susturdü,f,1
20,alıntıyi,f,1
22,tutumden,f,1
27,oturume,f,1
28,vurguyü,f,1
32,satışten,f,1
35,kaşıntıya,j,1
38,darlıktan,j,1
41,suçluyu,j,1
44,davacıye,f,1
47,kayalıklar,j,1
54,çağdaşı,j,1
55,hızlanecek,f,1
56,kutuplaşir,f,1
58,sıvanıyor,j,1
66,yamanıyor,j,1
67,tattırdı,j,1
71,uzlaşti,f,1
72,kısalır,j,1
76,görüşecek,j,1
77,ölçülüyor,j,1
79,dövüldu,f,1
81,düşündürür,j,1
82,kesişmiş,j,1
92,çöküntüye,j,1
113,tefeciler,j,1
115,gençliktan,f,1
117,emekçiya,f,1
118,ipliklar,f,1
134,deliracak,f,1
138,dillendi,j,1
143,eskitacak,f,1
146,ufuk,j,1
150,üzüm,j,1
156,öykü,j,1
157,ağaç,j,1
164,baba,j,1
167,özel,j,1
170,orman,j,1
171,boyun,j,1
172,sekiz,j,1
175,pamuk ,j,1
179,çorba,j,1
183,fikir,j,1
188,bilgi,j,1
189,erkek,j,1
192,yemek,j,1
193,çocuk,j,1
201,meslek,j,1
214,yüksek,j,1
216,fare,j,1
219,kase,j,1
222,alet,j,1
224,kale,j,1
225,nane,j,1
227,şair,j,1
234,mavi,j,1
244,asker,j,1
247,komik,j,1
254,basit,j,1
255,vakit,j,1
259,beyaz ,j,1
262,kitap,j,1
266,macera,j,1
267,fincan,j,1
281,adalet,j,1
282,tedavi,j,1
284,tahmin,j,1
286,öbeh,f,1
290,öğne,f,1
302,uzot,f,1
303,daro,f,1
309,eyel,f,1
310,dokoş,f,1
311,ontan,f,1
324,finer,f,1
325,masus,f,1
330,erbik,f,1
333,genek,f,1
342,tenlek,f,1
345,lingin,f,1
348,kürfür,f,1
350,teşcik,f,1
352,terbiy,f,1
354,bellet,f,1
355,yıksık,f,1
359,zali,f,1
360,same,f,1
362,ecmu,f,1
363,anel,f,1
371,esta,f,1
375,babi,f,1
377,eali,f,1
378,ated,f,1
390,masil,f,1
392,talif,f,1
401,seran,f,1
404,dülda,f,1
405,eksan,f,1
408,şingan,f,1
410,ebvace,f,1
412,mucepi,f,1
416,takime,f,1
421,şeylam,f,1
1,yaptırecek,f,2
4,çatışır,j,2
17,kokuşmüş,f,2
26,kazanımı,j,2
31,sunumdan,j,2
33,artıştan,j,2
34,dalıştan,j,2
42,yaralıyı,j,2
45,canlıya,j,2
46,dağcılar,j,2
50,şarkıcıya,j,2
57,şakalaşir,f,2
60,tozlanmış,j,2
63,kurutüyor,f,2
70,uğraşıldi,f,2
73,ettiracak,f,2
80,öldürecek,j,2
85,bindirır,f,2
87,çekişıyor,f,2
89,ezilacak,f,2
91,esintilar,f,2
94,beklentiyi,j,2
95,üzüntüdan,f,2
96,girişten,j,2
97,dönüştan,f,2
100,öpüşler,j,2
